locus	product	gene 	main role	subrole	regulation	developmental phenotype	core sporulation gene	reference
MXAN5751	glutamate racemase	murI	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	NR			
MXAN1070	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase	dacB	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	up1			
MXAN5911	"penicillin-binding protein, 1A family"		Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	up1			
MXAN2419	penicillin-binding protein 1C	pbpC	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	up2			
MXAN3402	D-alanyl-D-alanine carboxypeptidase family protein		Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	up2			
MXAN4909	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	murA	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	up2			
MXAN5181	"penicillin-binding protein, 1A family"		Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	up2			
MXAN7160	alanine racemase	alr	Cell envelope	biosynth and deg of murein sacculus and peptidoglycan	up2			
MXAN1048	UDP-glucose 6-dehydrogenase		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	down			
MXAN1095	2-dehydro-3-deoxyphosphooctonate aldolase	kdsA	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	down			
MXAN4724	acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	lpxA	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	down			
MXAN4726	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	lpxD	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	down			
MXAN4967	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	lpxC	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	down			
MXAN5740	"glycosyl transferase, group 2"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	down			
MXAN6195	"glycosyl transferase, group 1 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	down			
MXAN6501	mannose-1-phosphate guanylyltransferase		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	down			
MXAN1385	UDP-N-acetylglucosamine pyrophosphorylase	glmU	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NI			
MXAN1422	"glycosyl transferase, group 2 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NI			
MXAN1425	UTP-glucose-1-phosphate uridylyltransferase	galU	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NI			
MXAN0010	CapA family protein		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN0126	CapA family protein		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN0345	putative N-acetylmuramoyl-L-alanine amidase		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN0876	"glycosyl transferase, group 2 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN1025	capsular exopolysaccharide family protein		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN1026	"glycosyl transferase, group 1 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN1027	"glycosyl transferase, group 1 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN1029	"glycosyl transferase, group 1 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN1030	"glycosyl transferase, group 1"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN1032	"glycosyl transferase, group 1"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN1036	"glycosyl transferase, group 2 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN1037	"glycosyl transferase, group 2 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN1042	"glycosyl transferase, group 1 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN1043	glycosyl transferase		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN1052	O-antigen polymerase family protein		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN1057	bacterial lipid A biosynthesis acyltransferase		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN1094	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase	kdsC	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN1100	3-deoxy-D-manno-octulosonate cytidylyltransferase	kdsB	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN1640	dolichyl-phosphate-mannose-protein mannosyltransferase family protein		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN1915	polysaccharide biosynthesis/export protein		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN1944	"glycosyl transferase, group 2 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN2003	"N-acetylmuramoyl-L-alanine amidase, family 3"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN2359	"glycosyl transferase, group 2 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN2555	undecaprenyl diphosphate synthase	uppS	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN2919	O-antigen polymerase family protein		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN2920	"glycosyl transferase, group 1 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN2921	putative mannosyltransferase		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN2922	bacterial sugar transferase		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN2992	"glycosyl transferase, group 1"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN3886	N-acetylmuramoyl-L-alanine amidase domain protein		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN3999	putative N-acetylmuramoyl-L-alanine amidase		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN4610	"dTDP-4-dehydrorhamnose 3,5-epimerase"	rfbC	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN4611	glucose-1-phosphate thymidylyltransferase	rfbA	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN4612	putative dTDP-4-dehydrorhamnose reductase		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN4613	"dTDP-glucose 4,6-dehydratase"	rfbB	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN4616	glycosyl transferase family protein		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN4619	"glycosyl transferase, group 2 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN4621	glycosyl transferase family protein		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN4707	heptosyltransferase		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN4709	D-beta-D-heptose 1-phosphate adenosyltransferase		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN4710	D-beta-D-heptose 7-phosphate kinase		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN4711	tetraacyldisaccharide 4'-kinase	lpxK	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN4712	"glycosyl transferase, group 1 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN4713	putative lipopolysaccharide core biosynthesis mannosyltransferase		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN4714	3-deoxy-D-manno-octulosonic-acid transferase	kdtA	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN4718	lipid-A-disaccharide synthase	lpxB	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN4719	"glycosyl transferase, group 2 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN5328	GDP-4-dehydro-6-deoxy-D-mannose reductase	rmd	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN5335	"glycosyl transferase, group 2 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN5585	dolichyl-phosphate-mannose-protein mannosyltransferase family protein		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN6499	phosphomannomutase/phosphoglucomutase	algC	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN6503	alginate biosynthesis protein AlgI	algI	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN7159	bacterial lipid A biosynthesis acyltransferase		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN7187	"glycosyl transferase, group 1 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN7252	exopolysaccharide synthesis protein ExoD	exoD	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN7415	bacterial sugar transferase		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN7416	polysaccharide biosynthesis protein		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN7417	polysaccharide biosynthesis/export protein		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN7421	chain length determinant family protein		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN7422	"glycosyl transferase, group 2 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN7441	"glycosyl transferase, group 1"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN7448	"glycosyl transferase, group 2 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN7451	"glycosyl transferase, WecB/TagA/CpsF family"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	not reg			
MXAN1031	"glycosyl transferase, group 1"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR			
MXAN2362	"glycosyl transferase, group 1 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR			
MXAN2814	putative N-acetylmuramoyl-L-alanine amidase		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR			
MXAN3027	"glycosyl transferase, group 1"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR			
MXAN3229	bacterial sugar transferase		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR			
MXAN3263	putative glycosyltransferase		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR			
MXAN3484	"glycosyl transferase, group 2"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR			
MXAN3629	"glycosyl transferase, group 1"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR			
MXAN4614	"glycosyl transferase, group 1 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR			
MXAN4617	"glycosyl transferase, group 2 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR			
MXAN5327	"GDP-mannose 4,6-dehydratase"	gmd	Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR			
MXAN5332	"glycosyl transferase, group 1"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR			
MXAN5333	"glycosyl transferase, group 1"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR			
MXAN5367	"glycosyl transferase, group 2 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR			
MXAN5425	CapA family protein		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR			
MXAN6308	"glycosyl transferase, group 1"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR			
MXAN6784	"glycosyl transferase, group 2 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR			
MXAN7186	"glycosyl transferase, group 1"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR			
MXAN7445	"glycosyl transferase, group 1 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	NR			
MXAN1101	UDP-N-acetylglucosamine 2-epimerase		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	up1			
MXAN2689	lipopolysaccharide biosynthesis protein		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	up1			
MXAN3026	O-antigen polymerase family protein		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	up1			
MXAN3262	glycosyltransferase 1 family protein		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	up1			
MXAN3469	"glycosyl transferase, group 2 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	up1			
MXAN6236	putative polysaccharide-degrading enzyme		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	up1			
MXAN0781	"glycosyl transferase, group 1 family protein"		Cell envelope	biosynth and deg of surface polysaccharides and lipopolysaccharides	up2			
MXAN0217	putative lipoprotein		Cell envelope	Other	down			
MXAN0522	putative lipoprotein		Cell envelope	Other	down			
MXAN0538	putative lipoprotein		Cell envelope	Other	down			
MXAN0659	putative lipoprotein		Cell envelope	Other	down			
MXAN0962	putative lipoprotein		Cell envelope	Other	down			
MXAN1002	putative lipoprotein		Cell envelope	Other	down			
MXAN1117	putative lipoprotein		Cell envelope	Other	down			
MXAN1186	putative lipoprotein		Cell envelope	Other	down			
MXAN1317	putative lipoprotein		Cell envelope	Other	down			
MXAN1326	putative lipoprotein		Cell envelope	Other	down			
MXAN1337	putative lipoprotein		Cell envelope	Other	down			
MXAN1338	putative lipoprotein		Cell envelope	Other	down			
MXAN1342	putative lipoprotein		Cell envelope	Other	down			
MXAN1535	"membrane protein, TerC family"		Cell envelope	Other	down			
MXAN1539	putative lipoprotein		Cell envelope	Other	down			
MXAN2081	putative lipoprotein		Cell envelope	Other	down			
MXAN2217	hypothetical protein		Cell envelope	Other	down			
MXAN2277	putative lipoprotein		Cell envelope	Other	down			
MXAN2290	putative lipoprotein		Cell envelope	Other	down			
MXAN2423	putative lipoprotein		Cell envelope	Other	down			
MXAN2660	putative lipoprotein		Cell envelope	Other	down			
MXAN2710	putative lipoprotein		Cell envelope	Other	down			
MXAN2883	putative lipoprotein		Cell envelope	Other	down			
MXAN3155	putative lipoprotein		Cell envelope	Other	down			
MXAN3169	hypothetical protein		Cell envelope	Other	down			
MXAN3698	putative lipoprotein		Cell envelope	Other	down			
MXAN3914	PepSY-associated TM helix domain protein		Cell envelope	Other	down			
MXAN3967	hypothetical protein		Cell envelope	Other	down			
MXAN3971	putative lipoprotein		Cell envelope	Other	down			
MXAN4061	putative lipoprotein		Cell envelope	Other	down			
MXAN4421	putative lipoprotein		Cell envelope	Other	down			
